zip_code,lat,long
1000005,35.683021,139.764079
1000011,35.671128,139.758221
1000101,34.75194,139.354236
1000601,34.226739,139.164664
1001401,33.128473,139.763281
1001511,33.130091,139.793542
1001621,33.08009,139.795677
1010021,35.699086,139.770116
1010022,35.700873,139.774364
1010025,35.697321,139.774085
1010026,35.697103,139.776492
1010031,35.694436,139.780608
1010032,35.692057,139.777034
1010035,35.692019,139.773942
1010041,35.696831,139.769929
1010044,35.690255,139.771857
1010045,35.693417,139.770448
1010046,35.693776,139.769071
1010047,35.690701,139.765943
1010051,35.696582,139.759066
1010052,35.695141,139.766202
1010054,35.692934,139.764306
1010061,35.700947,139.756194
1010062,35.697853,139.762329
1010063,35.695688,139.766239
1010064,35.698471,139.759949
1010065,35.699407,139.75696
1020071,35.697265,139.747143
1020072,35.697616,139.749434
1020073,35.696011,139.749817
1020074,35.693761,139.754356
1020075,35.689862,139.741591
1020076,35.68933,139.734279
1020081,35.689363,139.737646
1020082,35.687723,139.739668
1020083,35.68487,139.74291
1020084,35.686045,139.735011
1020091,35.690921,139.749784
1020092,35.68153,139.74343
1020093,35.682844,139.74014
1030002,35.693604,139.78282
1030004,35.691405,139.786428
1030006,35.688878,139.782559
1030007,35.690174,139.786854
1030008,35.68357,139.790202
1030011,35.690412,139.780226
1030012,35.687861,139.779734
1030013,35.685132,139.78223
1030014,35.682315,139.783784
1030015,35.680654,139.7868
1030016,35.682111,139.781245
1030023,35.686049,139.776685
1030024,35.686604,139.778342
1030025,35.680816,139.779956
1030026,35.680411,139.776988
1030027,35.683344,139.774794
1030028,35.682615,139.770992
1040031,35.678493,139.77092
1040032,35.677787,139.776419
1040033,35.677288,139.783596
1040041,35.672907,139.773807
1040042,35.673133,139.777015
1040043,35.672997,139.779392
1040044,35.668491,139.776628
1040045,35.669554,139.770613
1040051,35.668718,139.782522
1040052,35.665208,139.781485
1040053,35.659508,139.784069
1040054,35.660836,139.77604
1040061,35.674323,139.768775
1050000,35.652811,139.745338
1050001,35.668976,139.750348
1050003,35.668116,139.753077
1050004,35.668398,139.75716
1050011,35.657829,139.751724
1050012,35.658821,139.754022
1050013,35.657852,139.756668
1050014,35.652414,139.755201
1050021,35.662681,139.761272
1050022,35.653188,139.762471
1050023,35.64816,139.756622
1057490,35.6644037,139.7599456
1060031,35.66087,139.724473
1060032,35.665082,139.740991
1060041,35.661777,139.740855
1060042,35.659344,139.739511
1060044,35.656483,139.743434
1060045,35.656147,139.735742
1060046,35.653166,139.73229
1060047,35.65108,139.732326
1070052,35.669241,139.742453
1070061,35.675008,139.720863
1070062,35.668727,139.725557
1076090,35.6670972,139.7401777
1080014,35.649146,139.750419
1080022,35.640215,139.759335
1080023,35.64421,139.753054
1080071,35.638241,139.730383
1080072,35.645594,139.732409
1080073,35.653666,139.740959
1080074,35.640259,139.735306
1080075,35.633219,139.743865
1100000,35.713224,139.786011
1100001,35.720471,139.767482
1100002,35.721861,139.775676
1100003,35.721862,139.779309
1100004,35.719334,139.782198
1100005,35.706624,139.771033
1100006,35.702205,139.774476
1100008,35.710487,139.768325
1100011,35.727921,139.792245
1100012,35.72379,139.789005
1100013,35.721258,139.786018
1100014,35.717633,139.782413
1100015,35.708374,139.778811
1100016,35.70174,139.77863
1110021,35.726272,139.798551
1110022,35.724593,139.802998
1110024,35.718947,139.804451
1110025,35.721878,139.800405
1110031,35.718579,139.790942
1110032,35.712136,139.794668
1110033,35.713121,139.799219
1110034,35.710498,139.792996
1110035,35.711434,139.78959
1110036,35.711998,139.786499
1110041,35.70845,139.783163
1110042,35.707636,139.789374
1110043,35.707491,139.794309
1110051,35.700752,139.790172
1110052,35.6966,139.78747
1110053,35.697854,139.784236
1110055,35.704183,139.785789
1110056,35.704513,139.782863
1120001,35.717011,139.749145
1120002,35.712194,139.751958
1120003,35.707953,139.748545
1120004,35.70538,139.750665
1120005,35.709264,139.742078
1120006,35.712452,139.738265
1120011,35.725974,139.743676
1120012,35.716643,139.733185
1120013,35.714518,139.72961
1120014,35.709124,139.733565
1120015,35.715078,139.720873
1130001,35.718776,139.752896
1130021,35.72619,139.751577
1130022,35.723747,139.758755
1130023,35.720045,139.755223
1130024,35.713081,139.754664
1130031,35.71965,139.761613
1130032,35.717357,139.760621
1130033,35.705133,139.756428
1130034,35.701538,139.764011
1140001,35.761197,139.731149
1140002,35.754268,139.739977
1140003,35.757459,139.740365
1140004,35.752401,139.744065
1140005,35.750496,139.744264
1140012,35.737873,139.767707
1140013,35.738431,139.763438
1140014,35.734556,139.761293
1140015,35.737386,139.751162
1140016,35.744389,139.748213
1140021,35.756007,139.733882
1140022,35.75308,139.734197
1140023,35.747631,139.735151
1140024,35.741124,139.746528
1140031,35.762599,139.720499
1140032,35.759378,139.728072
1140033,35.755062,139.725687
1140034,35.75957,139.724032
1150042,35.776893,139.729453
1150043,35.768081,139.733437
1150044,35.776629,139.72385
1150045,35.781419,139.720451
1150051,35.789684,139.704721
1150052,35.786885,139.712896
1150053,35.779128,139.715748
1150055,35.776615,139.718679
1150056,35.769789,139.713151
1160000,35.73982,139.782066
1160001,35.745023,139.783578
1160002,35.736648,139.786231
1160003,35.733568,139.790113
1160011,35.746301,139.762892
1160012,35.740548,139.770518
1160013,35.735822,139.773547
1160014,35.730699,139.788416
1200002,35.766263,139.855512
1200003,35.767439,139.83772
1200005,35.758726,139.821821
1200006,35.772793,139.832535
1200012,35.77415,139.81241
1200014,35.760661,139.818069
1200015,35.762188,139.805712
1200022,35.745952,139.814947
1200023,35.742466,139.814418
1200024,35.741883,139.806394
1200025,35.744182,139.804862
1200026,35.74882,139.807229
1200034,35.747959,139.8014
1200035,35.749534,139.797974
1200036,35.745222,139.800777
1200037,35.742702,139.800149
1200038,35.740228,139.798011
1200041,35.756707,139.791694
1200043,35.746764,139.796378
1200044,35.743131,139.792245
1200045,35.751298,139.792171
1200046,35.755519,139.771841
1200047,35.758353,139.754767
1210011,35.772105,139.808023
1210012,35.77505,139.819728
1210051,35.792733,139.829405
1210052,35.791107,139.838969
1210053,35.78587,139.843663
1210055,35.776274,139.827431
1210061,35.79957,139.813148
1210062,35.787872,139.824973
1210063,35.789292,139.81364
1210064,35.790358,139.806703
1210073,35.782492,139.823236
1210074,35.778702,139.822233
1210075,35.781796,139.809751
1210801,35.803601,139.783498
1210807,35.79857,139.788091
1210812,35.796594,139.800179
1210813,35.790729,139.792059
1210815,35.779899,139.800054
1210816,35.773195,139.800915
1210822,35.79077,139.788195
1210823,35.78976,139.784872
1210824,35.791575,139.774955
1210836,35.803578,139.76799
1230841,35.780336,139.781172
1230842,35.780321,139.789554
1230843,35.774118,139.790179
1230844,35.769544,139.782293
1230845,35.775463,139.778686
1230851,35.762689,139.801275
1230861,35.789258,139.759666
1230862,35.792913,139.763252
1230864,35.777337,139.750238
1230865,35.776755,139.740793
1230872,35.770259,139.768387
1230873,35.761707,139.774302
1240000,35.753889,139.853935
1240001,35.757331,139.81657
1240002,35.757881,139.840034
1240003,35.749561,139.83868
1240004,35.749397,139.835171
1240005,35.742056,139.836923
1240006,35.740236,139.830286
1240011,35.733835,139.835805
1240012,35.737019,139.845791
1240013,35.731218,139.848169
1240014,35.728128,139.841924
1240021,35.738197,139.87208
1240022,35.731258,139.857447
1240023,35.720892,139.86186
1240024,35.715451,139.858035
1240025,35.716523,139.855008
1250002,35.76095,139.839524
1250031,35.782613,139.851245
1250032,35.781083,139.856293
1250035,35.775947,139.858297
1250041,35.771146,139.870282
1250042,35.762176,139.86675
1250051,35.758532,139.859855
1250052,35.756114,139.872229
1250053,35.742803,139.87799
1250054,35.743612,139.861841
1250061,35.757953,139.846537
1250062,35.74267,139.855989
1250063,35.746289,139.842844
1300001,35.709201,139.800701
1300002,35.707752,139.810304
1300003,35.705184,139.810314
1300004,35.703562,139.797707
1300005,35.706015,139.798156
1300011,35.700402,139.79853
1300012,35.700435,139.809705
1300013,35.698422,139.810511
1300014,35.697447,139.798229
1300015,35.697209,139.794679
1300021,35.69373,139.799226
1300022,35.694513,139.810447
1300023,35.69117,139.799356
1300024,35.689338,139.801884
1300025,35.690933,139.791617
1300026,35.693984,139.79058
1310031,35.728164,139.816635
1310032,35.720487,139.813539
1310033,35.71111,139.806325
1310034,35.72272,139.811112
1310041,35.720609,139.824043
1310043,35.705702,139.829844
1310044,35.709338,139.820363
1310045,35.710401,139.814749
1310046,35.716893,139.819994
